suite,model,forecast_method,baseline_class,n_eval_tasks,brier,ece,regret,brier_low,brier_high,ece_low,ece_high,regret_low,regret_high,brier_ci,ece_ci,regret_ci,n_bootstrap,notes
paper_evalplus_mbpp_full,DeepSeek-V3-0324,output_length_proxy_posthoc,posthoc_diagnostic,262,0.15855597964376592,0.0578880407124682,0.019083969465648856,0.13756361323155217,0.17923027989821882,0.018447837150127187,0.09987277353689565,0.003816793893129771,0.03816793893129771,"0.159 [0.138, 0.179]","0.058 [0.018, 0.100]","0.019 [0.004, 0.038]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_evalplus_mbpp_full,gemini-2.0-flash-001,test_distribution_leave_one_out_source,test_distribution_diagnostic,262,0.1830443867040511,4.625929269271485e-18,0.007633587786259542,0.1660811888649119,0.20022105273459484,0.004469987228607915,0.05236270753512131,0.0,0.019083969465648856,"0.183 [0.166, 0.200]","0.000 [0.004, 0.052]","0.008 [0.000, 0.019]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_evalplus_mbpp_full,gemini-2.0-flash-001,output_length_proxy_posthoc,posthoc_diagnostic,262,0.16587150127226463,0.043256997455470736,0.13358778625954199,0.14646946564885496,0.1852735368956743,0.04262086513994915,0.08971851145038169,0.0916030534351145,0.17557251908396945,"0.166 [0.146, 0.185]","0.043 [0.043, 0.090]","0.134 [0.092, 0.176]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,test_distribution_leave_one_out_source,test_distribution_diagnostic,262,0.20479979252604433,0.0,0.03816793893129771,0.18872533188493026,0.22342265967910038,0.004454022988505691,0.05621008939974462,0.015267175572519083,0.0648854961832061,"0.205 [0.189, 0.223]","0.000 [0.004, 0.056]","0.038 [0.015, 0.065]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,output_length_proxy_posthoc,posthoc_diagnostic,262,0.17541348600508905,0.03816793893129774,0.08015267175572519,0.15505725190839695,0.19799618320610687,0.030534351145038163,0.08524968193384225,0.04961832061068702,0.11450381679389313,"0.175 [0.155, 0.198]","0.038 [0.031, 0.085]","0.080 [0.050, 0.115]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_math_core,claude-3-haiku,test_distribution_leave_one_out_source,test_distribution_diagnostic,709,0.187920818645784,4.4408920985006264e-17,0.018335684062059238,0.1826440359634287,0.19316539815531863,0.003411793173096523,0.03056113978467773,0.009873060648801129,0.029619181946403384,"0.188 [0.183, 0.193]","0.000 [0.003, 0.031]","0.018 [0.010, 0.030]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_math_core,claude-3-haiku,output_length_proxy_posthoc,posthoc_diagnostic,709,0.24430535966149505,0.25239774330042314,0.11706629055007052,0.232450634696756,0.2565796897038082,0.22757052186177715,0.27680183356840615,0.09449929478138223,0.14104372355430184,"0.244 [0.232, 0.257]","0.252 [0.228, 0.277]","0.117 [0.094, 0.141]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_math_core,DeepSeek-V3-0324,test_distribution_leave_one_out_source,test_distribution_diagnostic,709,0.17689020644005427,4.4408920985006264e-17,0.08039492242595205,0.17007591437442882,0.18351017484638082,0.0038441112381095207,0.025118947047085064,0.06064880112834979,0.10155148095909731,"0.177 [0.170, 0.184]","0.000 [0.004, 0.025]","0.080 [0.061, 0.102]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_math_core,DeepSeek-V3-0324,output_length_proxy_posthoc,posthoc_diagnostic,709,0.14952397743300422,0.09908321579689702,0.307475317348378,0.14190761636107194,0.1568582510578279,0.086385754583921,0.11502468265162204,0.27641043723554304,0.3427362482369535,"0.150 [0.142, 0.157]","0.099 [0.086, 0.115]","0.307 [0.276, 0.343]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_math_core,gemini-2.0-flash-001,test_distribution_leave_one_out_source,test_distribution_diagnostic,709,0.1765851015648254,2.2204460492503132e-17,0.029619181946403384,0.16786761146288653,0.18563919027616047,0.003539147667299895,0.027615756522264088,0.018335684062059238,0.04231311706629055,"0.177 [0.168, 0.186]","0.000 [0.004, 0.028]","0.030 [0.018, 0.042]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_math_core,gemini-2.0-flash-001,output_length_proxy_posthoc,posthoc_diagnostic,709,0.1389456981664316,0.09710860366713683,0.2383638928067701,0.13047954866008463,0.14684767277856134,0.08130465444287731,0.11404090267983072,0.2073342736248237,0.2708392101551481,"0.139 [0.130, 0.147]","0.097 [0.081, 0.114]","0.238 [0.207, 0.271]",1000,post-hoc output-token proxy; not deployable before spending tokens
paper_math_core,gemini-2.0-flash-lite-001,test_distribution_leave_one_out_source,test_distribution_diagnostic,709,0.18676845725756236,0.0,0.028208744710860368,0.17890253719215576,0.19550769633758122,0.00429922755318669,0.028849084165466075,0.01692524682651622,0.04090267983074753,"0.187 [0.179, 0.196]","0.000 [0.004, 0.029]","0.028 [0.017, 0.041]",1000,leave-one-task-out prior on the evaluation distribution; diagnostic only
paper_math_core,gemini-2.0-flash-lite-001,output_length_proxy_posthoc,posthoc_diagnostic,709,0.1407792665726375,0.09344146685472494,0.22425952045133993,0.13259873060648802,0.14868124118476728,0.07763751763046545,0.10980253878702395,0.19464033850493653,0.2524682651622003,"0.141 [0.133, 0.149]","0.093 [0.078, 0.110]","0.224 [0.195, 0.252]",1000,post-hoc output-token proxy; not deployable before spending tokens
