suite,model,method,n_calibration_tasks,n_eval_tasks,brier,ece,regret,brier_ci,ece_ci,regret_ci
paper_evalplus_mbpp_full,claude-3-haiku,learned_logistic_recalibrator,116,262,0.232482,0.057097,0.026718,"0.232 [0.217, 0.247]","0.057 [0.034, 0.100]","0.027 [0.008, 0.050]"
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_raw,116,262,0.444500,0.576393,0.022901,"0.444 [0.440, 0.450]","0.576 [0.562, 0.588]","0.023 [0.008, 0.042]"
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,116,262,0.018444,0.018348,0.019084,"0.018 [0.008, 0.036]","0.018 [0.008, 0.036]","0.019 [0.008, 0.034]"
paper_evalplus_mbpp_full,DeepSeek-V3-0324,constant_by_budget_calibration,116,262,0.018444,0.018348,0.019084,"0.018 [0.005, 0.032]","0.018 [0.005, 0.032]","0.019 [0.004, 0.034]"
paper_evalplus_mbpp_full,DeepSeek-V3-0324,source_by_budget_calibration,116,262,0.018444,0.018348,0.019084,"0.018 [0.008, 0.034]","0.018 [0.008, 0.033]","0.019 [0.004, 0.038]"
paper_evalplus_mbpp_full,DeepSeek-V3-0324,prompt_length_bin_calibration,116,262,0.018444,0.018348,0.019084,"0.018 [0.006, 0.032]","0.018 [0.006, 0.032]","0.019 [0.004, 0.034]"
paper_evalplus_mbpp_full,DeepSeek-V3-0324,learned_logistic_recalibrator,116,262,0.018448,0.018448,0.019084,"0.018 [0.006, 0.034]","0.018 [0.006, 0.034]","0.019 [0.004, 0.034]"
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_raw,116,262,0.460855,0.538130,0.007634,"0.461 [0.448, 0.473]","0.538 [0.512, 0.565]","0.008 [0.000, 0.019]"
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,116,262,0.060221,0.013256,0.030534,"0.060 [0.040, 0.080]","0.013 [0.005, 0.038]","0.031 [0.011, 0.050]"
paper_evalplus_mbpp_full,gemini-2.0-flash-001,constant_by_budget_calibration,116,262,0.060133,0.012701,0.026718,"0.060 [0.040, 0.082]","0.013 [0.003, 0.037]","0.027 [0.008, 0.046]"
paper_evalplus_mbpp_full,gemini-2.0-flash-001,source_by_budget_calibration,116,262,0.060133,0.012701,0.026718,"0.060 [0.041, 0.084]","0.013 [0.003, 0.036]","0.027 [0.011, 0.046]"
paper_evalplus_mbpp_full,gemini-2.0-flash-001,prompt_length_bin_calibration,116,262,0.062611,0.032662,0.045802,"0.063 [0.042, 0.083]","0.033 [0.014, 0.053]","0.046 [0.020, 0.072]"
paper_evalplus_mbpp_full,gemini-2.0-flash-001,learned_logistic_recalibrator,116,262,0.060021,0.017757,0.007634,"0.060 [0.044, 0.083]","0.018 [0.003, 0.038]","0.008 [0.000, 0.019]"
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,self_forecast_raw,116,262,0.405058,0.527595,0.000000,"0.405 [0.400, 0.410]","0.528 [0.522, 0.533]","0.000 [0.000, 0.000]"
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,self_forecast_histogram_recalibrated,116,262,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,constant_by_budget_calibration,116,262,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,source_by_budget_calibration,116,262,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,prompt_length_bin_calibration,116,262,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,learned_logistic_recalibrator,116,262,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_canitedit_descriptive,claude-3-haiku,self_forecast_raw,40,65,0.283977,0.253077,0.015385,"0.284 [0.236, 0.327]","0.253 [0.165, 0.339]","0.015 [0.000, 0.046]"
paper_canitedit_descriptive,claude-3-haiku,self_forecast_histogram_recalibrated,40,65,0.221420,0.101425,0.030769,"0.221 [0.191, 0.253]","0.101 [0.041, 0.194]","0.031 [0.000, 0.077]"
paper_canitedit_descriptive,claude-3-haiku,constant_by_budget_calibration,40,65,0.219721,0.093462,0.015385,"0.220 [0.192, 0.247]","0.093 [0.030, 0.173]","0.015 [0.000, 0.046]"
paper_canitedit_descriptive,claude-3-haiku,source_by_budget_calibration,40,65,0.219721,0.093462,0.015385,"0.220 [0.191, 0.249]","0.093 [0.020, 0.189]","0.015 [0.000, 0.046]"
paper_canitedit_descriptive,claude-3-haiku,prompt_length_bin_calibration,40,65,0.174663,0.070411,0.061538,"0.175 [0.152, 0.199]","0.070 [0.044, 0.153]","0.062 [0.015, 0.123]"
paper_canitedit_descriptive,claude-3-haiku,learned_logistic_recalibrator,40,65,0.185352,0.111934,0.015385,"0.185 [0.158, 0.207]","0.112 [0.080, 0.168]","0.015 [0.000, 0.046]"
paper_canitedit_descriptive,DeepSeek-V3-0324,self_forecast_raw,40,65,0.218096,0.103785,0.030769,"0.218 [0.189, 0.246]","0.104 [0.067, 0.171]","0.031 [0.000, 0.077]"
paper_canitedit_descriptive,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,40,65,0.218710,0.083345,0.061538,"0.219 [0.195, 0.241]","0.083 [0.046, 0.149]","0.062 [0.015, 0.123]"
paper_canitedit_descriptive,DeepSeek-V3-0324,constant_by_budget_calibration,40,65,0.217596,0.053846,0.030769,"0.218 [0.195, 0.240]","0.054 [0.031, 0.137]","0.031 [0.000, 0.077]"
paper_canitedit_descriptive,DeepSeek-V3-0324,source_by_budget_calibration,40,65,0.217596,0.053846,0.030769,"0.218 [0.195, 0.238]","0.054 [0.034, 0.145]","0.031 [0.000, 0.073]"
paper_canitedit_descriptive,DeepSeek-V3-0324,prompt_length_bin_calibration,40,65,0.174422,0.080743,0.061538,"0.174 [0.149, 0.199]","0.081 [0.066, 0.154]","0.062 [0.015, 0.123]"
paper_canitedit_descriptive,DeepSeek-V3-0324,learned_logistic_recalibrator,40,65,0.165090,0.093621,0.030769,"0.165 [0.139, 0.187]","0.094 [0.075, 0.134]","0.031 [0.000, 0.062]"
paper_canitedit_descriptive,gemini-2.0-flash-001,self_forecast_raw,40,65,0.251460,0.226123,0.030769,"0.251 [0.208, 0.288]","0.226 [0.168, 0.293]","0.031 [0.000, 0.077]"
paper_canitedit_descriptive,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,40,65,0.191984,0.038813,0.061538,"0.192 [0.176, 0.210]","0.039 [0.034, 0.119]","0.062 [0.015, 0.123]"
paper_canitedit_descriptive,gemini-2.0-flash-001,constant_by_budget_calibration,40,65,0.207721,0.043462,0.030769,"0.208 [0.188, 0.230]","0.043 [0.018, 0.127]","0.031 [0.000, 0.073]"
paper_canitedit_descriptive,gemini-2.0-flash-001,source_by_budget_calibration,40,65,0.207721,0.043462,0.030769,"0.208 [0.184, 0.233]","0.043 [0.017, 0.126]","0.031 [0.000, 0.077]"
paper_canitedit_descriptive,gemini-2.0-flash-001,prompt_length_bin_calibration,40,65,0.185096,0.083870,0.030769,"0.185 [0.162, 0.207]","0.084 [0.049, 0.154]","0.031 [0.000, 0.077]"
paper_canitedit_descriptive,gemini-2.0-flash-001,learned_logistic_recalibrator,40,65,0.173009,0.101943,0.030769,"0.173 [0.150, 0.198]","0.102 [0.078, 0.158]","0.031 [0.000, 0.073]"
paper_canitedit_descriptive,gemini-2.0-flash-lite-001,self_forecast_raw,40,65,0.219499,0.130369,0.030769,"0.219 [0.186, 0.254]","0.130 [0.090, 0.197]","0.031 [0.000, 0.077]"
paper_canitedit_descriptive,gemini-2.0-flash-lite-001,self_forecast_histogram_recalibrated,40,65,0.214128,0.114103,0.030769,"0.214 [0.189, 0.240]","0.114 [0.056, 0.200]","0.031 [0.000, 0.077]"
paper_canitedit_descriptive,gemini-2.0-flash-lite-001,constant_by_budget_calibration,40,65,0.214375,0.112692,0.030769,"0.214 [0.188, 0.242]","0.113 [0.036, 0.193]","0.031 [0.000, 0.077]"
paper_canitedit_descriptive,gemini-2.0-flash-lite-001,source_by_budget_calibration,40,65,0.214375,0.112692,0.030769,"0.214 [0.186, 0.242]","0.113 [0.031, 0.198]","0.031 [0.000, 0.089]"
paper_canitedit_descriptive,gemini-2.0-flash-lite-001,prompt_length_bin_calibration,40,65,0.161779,0.084257,0.061538,"0.162 [0.143, 0.182]","0.084 [0.048, 0.156]","0.062 [0.015, 0.123]"
paper_canitedit_descriptive,gemini-2.0-flash-lite-001,learned_logistic_recalibrator,40,65,0.166376,0.128648,0.030769,"0.166 [0.146, 0.185]","0.129 [0.090, 0.192]","0.031 [0.000, 0.077]"
paper_bigcodebench_hard,claude-3-haiku,self_forecast_raw,43,105,0.431111,0.535714,0.019048,"0.431 [0.409, 0.450]","0.536 [0.494, 0.569]","0.019 [0.000, 0.048]"
paper_bigcodebench_hard,claude-3-haiku,self_forecast_histogram_recalibrated,43,105,0.072158,0.016978,0.009524,"0.072 [0.038, 0.110]","0.017 [0.012, 0.060]","0.010 [0.000, 0.029]"
paper_bigcodebench_hard,claude-3-haiku,constant_by_budget_calibration,43,105,0.064746,0.013383,0.019048,"0.065 [0.038, 0.101]","0.013 [0.010, 0.045]","0.019 [0.000, 0.048]"
paper_bigcodebench_hard,claude-3-haiku,source_by_budget_calibration,43,105,0.064746,0.013383,0.019048,"0.065 [0.032, 0.102]","0.013 [0.010, 0.057]","0.019 [0.000, 0.048]"
paper_bigcodebench_hard,claude-3-haiku,prompt_length_bin_calibration,43,105,0.078553,0.084124,0.047619,"0.079 [0.044, 0.113]","0.084 [0.057, 0.122]","0.048 [0.010, 0.086]"
paper_bigcodebench_hard,claude-3-haiku,learned_logistic_recalibrator,43,105,0.069539,0.042884,0.019048,"0.070 [0.040, 0.104]","0.043 [0.026, 0.073]","0.019 [0.000, 0.038]"
paper_bigcodebench_hard,DeepSeek-V3-0324,self_forecast_raw,43,105,0.406079,0.516349,0.047619,"0.406 [0.388, 0.419]","0.516 [0.477, 0.541]","0.048 [0.010, 0.086]"
paper_bigcodebench_hard,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,43,105,0.065392,0.078051,0.066667,"0.065 [0.043, 0.088]","0.078 [0.051, 0.112]","0.067 [0.019, 0.114]"
paper_bigcodebench_hard,DeepSeek-V3-0324,constant_by_budget_calibration,43,105,0.065638,0.090127,0.066667,"0.066 [0.046, 0.092]","0.090 [0.054, 0.119]","0.067 [0.029, 0.122]"
paper_bigcodebench_hard,DeepSeek-V3-0324,source_by_budget_calibration,43,105,0.065638,0.090127,0.066667,"0.066 [0.044, 0.089]","0.090 [0.057, 0.122]","0.067 [0.021, 0.114]"
paper_bigcodebench_hard,DeepSeek-V3-0324,prompt_length_bin_calibration,43,105,0.068847,0.093481,0.066667,"0.069 [0.051, 0.095]","0.093 [0.065, 0.119]","0.067 [0.029, 0.124]"
paper_bigcodebench_hard,DeepSeek-V3-0324,learned_logistic_recalibrator,43,105,0.065794,0.070856,0.066667,"0.066 [0.042, 0.087]","0.071 [0.041, 0.101]","0.067 [0.029, 0.105]"
paper_bigcodebench_hard,gemini-2.0-flash-001,self_forecast_raw,43,105,0.433523,0.563683,0.000000,"0.434 [0.426, 0.440]","0.564 [0.559, 0.569]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,43,105,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-001,constant_by_budget_calibration,43,105,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-001,source_by_budget_calibration,43,105,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-001,prompt_length_bin_calibration,43,105,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-001,learned_logistic_recalibrator,43,105,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-lite-001,self_forecast_raw,43,105,0.390433,0.505778,0.000000,"0.390 [0.387, 0.395]","0.506 [0.502, 0.510]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-lite-001,self_forecast_histogram_recalibrated,43,105,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-lite-001,constant_by_budget_calibration,43,105,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-lite-001,source_by_budget_calibration,43,105,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-lite-001,prompt_length_bin_calibration,43,105,0.000000,0.000100,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gemini-2.0-flash-lite-001,learned_logistic_recalibrator,43,105,0.000000,0.000000,0.000000,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
paper_bigcodebench_hard,gpt-5-mini,self_forecast_raw,43,105,0.473039,0.562191,0.028571,"0.473 [0.438, 0.512]","0.562 [0.524, 0.601]","0.029 [0.000, 0.057]"
paper_bigcodebench_hard,gpt-5-mini,self_forecast_histogram_recalibrated,43,105,0.082542,0.032906,0.266667,"0.083 [0.068, 0.097]","0.033 [0.008, 0.060]","0.267 [0.181, 0.352]"
paper_bigcodebench_hard,gpt-5-mini,constant_by_budget_calibration,43,105,0.075943,0.027957,0.114286,"0.076 [0.066, 0.088]","0.028 [0.008, 0.057]","0.114 [0.067, 0.181]"
paper_bigcodebench_hard,gpt-5-mini,source_by_budget_calibration,43,105,0.075943,0.027957,0.114286,"0.076 [0.066, 0.089]","0.028 [0.004, 0.056]","0.114 [0.059, 0.188]"
paper_bigcodebench_hard,gpt-5-mini,prompt_length_bin_calibration,43,105,0.082232,0.058294,0.114286,"0.082 [0.069, 0.098]","0.058 [0.039, 0.086]","0.114 [0.067, 0.162]"
paper_bigcodebench_hard,gpt-5-mini,learned_logistic_recalibrator,43,105,0.073260,0.028455,0.028571,"0.073 [0.062, 0.086]","0.028 [0.014, 0.054]","0.029 [0.000, 0.067]"
