suite,model,method,source_method,policy,budget_fraction,target_total_budget,selected_total_budget,budget_used,budget_slack_tokens,strict_budget_feasible,allocated_tasks,verified_successes,success_rate,oracle_successes,regret_to_oracle
paper_evalplus_humaneval_full,gemini-2.0-flash-001,max_budget,max_budget,policy_b,1.00,235520,235520,235520,0,1,115,87,0.756522,91,4
paper_evalplus_humaneval_full,gemini-2.0-flash-001,oracle,oracle,policy_b,0.25,58880,47104,29888,28992,1,91,91,1.000000,91,0
paper_evalplus_humaneval_full,gemini-2.0-flash-001,oracle,oracle,policy_b,0.50,117760,117760,29888,87872,1,91,91,1.000000,91,0
paper_evalplus_humaneval_full,gemini-2.0-flash-001,oracle,oracle,policy_b,0.75,176640,164864,29888,146752,1,91,91,1.000000,91,0
paper_evalplus_humaneval_full,gemini-2.0-flash-001,oracle,oracle,policy_b,1.00,235520,235520,29888,205632,1,91,91,1.000000,91,0
paper_evalplus_humaneval_full,gemini-2.0-flash-001,random_budget,random_budget,policy_b,0.25,58880,47104,47104,11776,1,78,39,0.500000,91,52
paper_evalplus_humaneval_full,gemini-2.0-flash-001,random_budget,random_budget,policy_b,0.50,117760,117760,69120,48640,1,115,53,0.460870,91,38
paper_evalplus_humaneval_full,gemini-2.0-flash-001,random_budget,random_budget,policy_b,0.75,176640,164864,69120,107520,1,115,53,0.460870,91,38
paper_evalplus_humaneval_full,gemini-2.0-flash-001,random_budget,random_budget,policy_b,1.00,235520,235520,69120,166400,1,115,53,0.460870,91,38
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.25,58880,47104,47104,11776,1,97,70,0.721649,91,21
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.50,117760,117760,64000,53760,1,115,88,0.765217,91,3
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.75,176640,164864,64000,112640,1,115,88,0.765217,91,3
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,1.00,235520,235520,64000,171520,1,115,88,0.765217,91,3
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_raw,self_forecast_raw,policy_b,0.25,58880,47104,47104,11776,1,109,80,0.733945,91,11
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_raw,self_forecast_raw,policy_b,0.50,117760,117760,117760,0,1,115,88,0.765217,91,3
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_raw,self_forecast_raw,policy_b,0.75,176640,164864,164864,11776,1,115,88,0.765217,91,3
paper_evalplus_humaneval_full,gemini-2.0-flash-001,self_forecast_raw,self_forecast_raw,policy_b,1.00,235520,235520,235520,0,1,115,87,0.756522,91,4
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,best_simple_prior,prompt_length_bin_calibration,policy_b,0.25,58880,47104,47104,11776,1,92,65,0.706522,89,24
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,best_simple_prior,prompt_length_bin_calibration,policy_b,0.50,117760,117760,58880,58880,1,115,83,0.721739,89,6
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,best_simple_prior,prompt_length_bin_calibration,policy_b,0.75,176640,164864,58880,117760,1,115,83,0.721739,89,6
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,best_simple_prior,prompt_length_bin_calibration,policy_b,1.00,235520,235520,58880,176640,1,115,83,0.721739,89,6
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,max_budget,max_budget,policy_b,0.25,58880,47104,47104,11776,1,23,15,0.652174,89,74
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,max_budget,max_budget,policy_b,0.50,117760,117760,116736,1024,1,57,40,0.701754,89,49
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,max_budget,max_budget,policy_b,0.75,176640,164864,163840,12800,1,80,59,0.737500,89,30
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,max_budget,max_budget,policy_b,1.00,235520,235520,235520,0,1,115,87,0.756522,89,2
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,oracle,oracle,policy_b,0.25,58880,47104,25792,33088,1,89,89,1.000000,89,0
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,oracle,oracle,policy_b,0.50,117760,117760,25792,91968,1,89,89,1.000000,89,0
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,oracle,oracle,policy_b,0.75,176640,164864,25792,150848,1,89,89,1.000000,89,0
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,oracle,oracle,policy_b,1.00,235520,235520,25792,209728,1,89,89,1.000000,89,0
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,random_budget,random_budget,policy_b,0.25,58880,47104,47104,11776,1,67,33,0.492537,89,56
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,random_budget,random_budget,policy_b,0.50,117760,117760,80128,37632,1,115,63,0.547826,89,26
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,random_budget,random_budget,policy_b,0.75,176640,164864,80128,96512,1,115,63,0.547826,89,26
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,random_budget,random_budget,policy_b,1.00,235520,235520,80128,155392,1,115,63,0.547826,89,26
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.25,58880,47104,46976,11904,1,115,73,0.634783,89,16
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.50,117760,117760,116736,1024,1,115,85,0.739130,89,4
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.75,176640,164864,142848,33792,1,115,87,0.756522,89,2
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,1.00,235520,235520,142848,92672,1,115,87,0.756522,89,2
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_raw,self_forecast_raw,policy_b,0.25,58880,47104,47104,11776,1,46,30,0.652174,89,59
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_raw,self_forecast_raw,policy_b,0.50,117760,117760,117760,0,1,115,86,0.747826,89,3
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_raw,self_forecast_raw,policy_b,0.75,176640,164864,164864,11776,1,115,85,0.739130,89,4
paper_evalplus_humaneval_full,gemini-2.0-flash-lite-001,self_forecast_raw,self_forecast_raw,policy_b,1.00,235520,235520,235520,0,1,115,87,0.756522,89,2
paper_evalplus_mbpp_full,DeepSeek-V3-0324,best_simple_prior,constant_by_budget_calibration,policy_b,0.25,134144,107315,16768,117376,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,best_simple_prior,constant_by_budget_calibration,policy_b,0.50,268288,268288,16768,251520,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,best_simple_prior,constant_by_budget_calibration,policy_b,0.75,402432,375603,16768,385664,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,best_simple_prior,constant_by_budget_calibration,policy_b,1.00,536576,536576,16768,519808,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,max_budget,max_budget,policy_b,0.25,134144,107315,106496,27648,1,52,1,0.019231,9,8
paper_evalplus_mbpp_full,DeepSeek-V3-0324,max_budget,max_budget,policy_b,0.50,268288,268288,268288,0,1,131,1,0.007634,9,8
paper_evalplus_mbpp_full,DeepSeek-V3-0324,max_budget,max_budget,policy_b,0.75,402432,375603,374784,27648,1,183,3,0.016393,9,6
paper_evalplus_mbpp_full,DeepSeek-V3-0324,max_budget,max_budget,policy_b,1.00,536576,536576,536576,0,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,oracle,oracle,policy_b,0.25,134144,107315,2304,131840,1,9,9,1.000000,9,0
paper_evalplus_mbpp_full,DeepSeek-V3-0324,oracle,oracle,policy_b,0.50,268288,268288,2304,265984,1,9,9,1.000000,9,0
paper_evalplus_mbpp_full,DeepSeek-V3-0324,oracle,oracle,policy_b,0.75,402432,375603,2304,400128,1,9,9,1.000000,9,0
paper_evalplus_mbpp_full,DeepSeek-V3-0324,oracle,oracle,policy_b,1.00,536576,536576,2304,534272,1,9,9,1.000000,9,0
paper_evalplus_mbpp_full,DeepSeek-V3-0324,random_budget,random_budget,policy_b,0.25,134144,107315,107264,26880,1,134,2,0.014925,9,7
paper_evalplus_mbpp_full,DeepSeek-V3-0324,random_budget,random_budget,policy_b,0.50,268288,268288,197952,70336,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,random_budget,random_budget,policy_b,0.75,402432,375603,197952,204480,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,random_budget,random_budget,policy_b,1.00,536576,536576,197952,338624,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.25,134144,107315,16768,117376,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.50,268288,268288,16768,251520,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.75,402432,375603,16768,385664,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,1.00,536576,536576,16768,519808,1,262,4,0.015267,9,5
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_raw,self_forecast_raw,policy_b,0.25,134144,107315,107264,26880,1,262,6,0.022901,9,3
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_raw,self_forecast_raw,policy_b,0.50,268288,268288,267520,768,1,262,6,0.022901,9,3
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_raw,self_forecast_raw,policy_b,0.75,402432,375603,375040,27392,1,262,6,0.022901,9,3
paper_evalplus_mbpp_full,DeepSeek-V3-0324,self_forecast_raw,self_forecast_raw,policy_b,1.00,536576,536576,534784,1792,1,262,3,0.011450,9,6
paper_evalplus_mbpp_full,claude-3-haiku,best_simple_prior,constant_by_budget_calibration,policy_b,0.25,134144,107315,67072,67072,1,262,175,0.667939,183,8
paper_evalplus_mbpp_full,claude-3-haiku,best_simple_prior,constant_by_budget_calibration,policy_b,0.50,268288,268288,67072,201216,1,262,175,0.667939,183,8
paper_evalplus_mbpp_full,claude-3-haiku,best_simple_prior,constant_by_budget_calibration,policy_b,0.75,402432,375603,67072,335360,1,262,175,0.667939,183,8
paper_evalplus_mbpp_full,claude-3-haiku,best_simple_prior,constant_by_budget_calibration,policy_b,1.00,536576,536576,67072,469504,1,262,175,0.667939,183,8
paper_evalplus_mbpp_full,claude-3-haiku,max_budget,max_budget,policy_b,0.25,134144,107315,106496,27648,1,52,36,0.692308,183,147
paper_evalplus_mbpp_full,claude-3-haiku,max_budget,max_budget,policy_b,0.50,268288,268288,268288,0,1,131,88,0.671756,183,95
paper_evalplus_mbpp_full,claude-3-haiku,max_budget,max_budget,policy_b,0.75,402432,375603,374784,27648,1,183,121,0.661202,183,62
paper_evalplus_mbpp_full,claude-3-haiku,max_budget,max_budget,policy_b,1.00,536576,536576,536576,0,1,262,176,0.671756,183,7
paper_evalplus_mbpp_full,claude-3-haiku,oracle,oracle,policy_b,0.25,134144,107315,15296,118848,1,183,183,1.000000,183,0
paper_evalplus_mbpp_full,claude-3-haiku,oracle,oracle,policy_b,0.50,268288,268288,15296,252992,1,183,183,1.000000,183,0
paper_evalplus_mbpp_full,claude-3-haiku,oracle,oracle,policy_b,0.75,402432,375603,15296,387136,1,183,183,1.000000,183,0
paper_evalplus_mbpp_full,claude-3-haiku,oracle,oracle,policy_b,1.00,536576,536576,15296,521280,1,183,183,1.000000,183,0
paper_evalplus_mbpp_full,claude-3-haiku,random_budget,random_budget,policy_b,0.25,134144,107315,107264,26880,1,178,116,0.651685,183,67
paper_evalplus_mbpp_full,claude-3-haiku,random_budget,random_budget,policy_b,0.50,268288,268288,172416,95872,1,262,172,0.656489,183,11
paper_evalplus_mbpp_full,claude-3-haiku,random_budget,random_budget,policy_b,0.75,402432,375603,172416,230016,1,262,172,0.656489,183,11
paper_evalplus_mbpp_full,claude-3-haiku,random_budget,random_budget,policy_b,1.00,536576,536576,172416,364160,1,262,172,0.656489,183,11
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.25,134144,107315,91648,42496,1,262,179,0.683206,183,4
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.50,268288,268288,91648,176640,1,262,179,0.683206,183,4
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.75,402432,375603,91648,310784,1,262,179,0.683206,183,4
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,1.00,536576,536576,91648,444928,1,262,179,0.683206,183,4
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_raw,self_forecast_raw,policy_b,0.25,134144,107315,107264,26880,1,262,176,0.671756,183,7
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_raw,self_forecast_raw,policy_b,0.50,268288,268288,268288,0,1,262,177,0.675573,183,6
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_raw,self_forecast_raw,policy_b,0.75,402432,375603,374784,27648,1,262,175,0.667939,183,8
paper_evalplus_mbpp_full,claude-3-haiku,self_forecast_raw,self_forecast_raw,policy_b,1.00,536576,536576,536576,0,1,262,176,0.671756,183,7
paper_evalplus_mbpp_full,gemini-2.0-flash-001,best_simple_prior,constant_by_budget_calibration,policy_b,0.25,134144,107315,107264,26880,1,262,21,0.080153,26,5
paper_evalplus_mbpp_full,gemini-2.0-flash-001,best_simple_prior,constant_by_budget_calibration,policy_b,0.50,268288,268288,268288,0,1,262,19,0.072519,26,7
paper_evalplus_mbpp_full,gemini-2.0-flash-001,best_simple_prior,constant_by_budget_calibration,policy_b,0.75,402432,375603,268288,134144,1,262,19,0.072519,26,7
paper_evalplus_mbpp_full,gemini-2.0-flash-001,best_simple_prior,constant_by_budget_calibration,policy_b,1.00,536576,536576,268288,268288,1,262,19,0.072519,26,7
paper_evalplus_mbpp_full,gemini-2.0-flash-001,max_budget,max_budget,policy_b,0.25,134144,107315,106496,27648,1,52,5,0.096154,26,21
paper_evalplus_mbpp_full,gemini-2.0-flash-001,max_budget,max_budget,policy_b,0.50,268288,268288,268288,0,1,131,12,0.091603,26,14
paper_evalplus_mbpp_full,gemini-2.0-flash-001,max_budget,max_budget,policy_b,0.75,402432,375603,374784,27648,1,183,18,0.098361,26,8
paper_evalplus_mbpp_full,gemini-2.0-flash-001,max_budget,max_budget,policy_b,1.00,536576,536576,536576,0,1,262,24,0.091603,26,2
paper_evalplus_mbpp_full,gemini-2.0-flash-001,oracle,oracle,policy_b,0.25,134144,107315,5504,128640,1,26,26,1.000000,26,0
paper_evalplus_mbpp_full,gemini-2.0-flash-001,oracle,oracle,policy_b,0.50,268288,268288,5504,262784,1,26,26,1.000000,26,0
paper_evalplus_mbpp_full,gemini-2.0-flash-001,oracle,oracle,policy_b,0.75,402432,375603,5504,396928,1,26,26,1.000000,26,0
paper_evalplus_mbpp_full,gemini-2.0-flash-001,oracle,oracle,policy_b,1.00,536576,536576,5504,531072,1,26,26,1.000000,26,0
paper_evalplus_mbpp_full,gemini-2.0-flash-001,random_budget,random_budget,policy_b,0.25,134144,107315,107264,26880,1,146,13,0.089041,26,13
paper_evalplus_mbpp_full,gemini-2.0-flash-001,random_budget,random_budget,policy_b,0.50,268288,268288,186560,81728,1,262,18,0.068702,26,8
paper_evalplus_mbpp_full,gemini-2.0-flash-001,random_budget,random_budget,policy_b,0.75,402432,375603,186560,215872,1,262,18,0.068702,26,8
paper_evalplus_mbpp_full,gemini-2.0-flash-001,random_budget,random_budget,policy_b,1.00,536576,536576,186560,350016,1,262,18,0.068702,26,8
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.25,134144,107315,107264,26880,1,247,21,0.085020,26,5
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.50,268288,268288,215552,52736,1,262,18,0.068702,26,8
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,0.75,402432,375603,215552,186880,1,262,18,0.068702,26,8
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_histogram_recalibrated,self_forecast_histogram_recalibrated,policy_b,1.00,536576,536576,215552,321024,1,262,18,0.068702,26,8
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_raw,self_forecast_raw,policy_b,0.25,134144,107315,107264,26880,1,249,22,0.088353,26,4
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_raw,self_forecast_raw,policy_b,0.50,268288,268288,268288,0,1,262,19,0.072519,26,7
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_raw,self_forecast_raw,policy_b,0.75,402432,375603,374784,27648,1,262,21,0.080153,26,5
paper_evalplus_mbpp_full,gemini-2.0-flash-001,self_forecast_raw,self_forecast_raw,policy_b,1.00,536576,536576,534528,2048,1,262,24,0.091603,26,2
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,best_simple_prior,constant_by_budget_calibration,policy_b,0.25,134144,107315,16768,117376,1,262,0,0.000000,0,0
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,best_simple_prior,constant_by_budget_calibration,policy_b,0.50,268288,268288,16768,251520,1,262,0,0.000000,0,0
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,best_simple_prior,constant_by_budget_calibration,policy_b,0.75,402432,375603,16768,385664,1,262,0,0.000000,0,0
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,best_simple_prior,constant_by_budget_calibration,policy_b,1.00,536576,536576,16768,519808,1,262,0,0.000000,0,0
paper_evalplus_mbpp_full,gemini-2.0-flash-lite-001,max_budget,max_budget,policy_b,0.25,134144,107315,106496,27648,1,52,0,0.000000,0,0
